"David Charles ""Dave"" Berkoff",2,572
Alain Andr Louis Edmond Bernard,2,572
Arthur Berry,2,572
Franco Bertinetti,2,572
Marcello Bertinetti,2,572
Ivan Ivanovych Biakov,2,572
Diana Bianchedi,2,572
Sergio Bianchetto,2,572
Pietro Bianchi,2,572
Abebe Bikila,2,572
"Alexandre ""Alex"" Bilodeau",2,572
Yohan Blake,2,572
Armand Blanchonnet,2,572
Gaston Frdric Blanchy,2,572
Anastasiya Ilyinichna Bliznyuk,2,572
Liudmyla Kostiantynivna Bobrus-Poradnyk,2,572
Nina Antonivna Bocharova,2,572
Conrad Helmut Fritz Bcker,2,572
Anna Ivanovna Bogaly-Titovets,2,572
Anatoly Ivanovich Bogdanov,2,572
Philippe Alain Boisse,2,572
John Mary Pius Boland,2,572
Harry Boldt,2,572
"Gustaf Adolf Boltenstern, Jr.",2,572
"Alice Ruth ""Ruthie"" Bolton-Holifield",2,572
Antal Bolvri,2,572
Hamish Byron Bond,2,572
George Valentine Bonhag,2,572
Ott Boros,2,572
Elmar Borrmann,2,572
Francesca Bortolozzi-Borella,2,572
Valeriy Pylypovych Borzov,2,572
"Elizabeth Anne ""Beth"" Botsford",2,572
Gatan T. Boucher,2,572
Danil Ephrem Jean Odiel Bouckaert,2,572
Ren Bougnol,2,572
Tina Nielsen Bttzau (-Haunstrup),2,572
Gregor Braun,2,572
Andreas Bang Brecke,2,572
Karoline Charlotte Dyhre Breivang,2,572
Hallgeir Brenden,2,572
Jacques Brinkman,2,572
Martin Pierre Brodeur,2,572
Gyrgy Brdy,2,572
Alice Regina Brown (-Harris),2,572
Graeme Allen Brown,2,572
Alistair Edward Brownlee,2,572
"Michael Lee ""Mike"" Bruner",2,572
Pierre mile Ernest Brunet,2,572
Andre Marguerite Blanche Brunet-Joly,2,572
Kobe Bean Bryant,2,572
"George Philip ""Phil"" Bryant",2,572
Jan Brzk-Felix,2,572
Karen Brdsgaard,2,572
"Georges Eugne William ""Go"" Buchard",2,572
Craig Werner Buck,2,572
Rachel Marie Buehler (-Van Hollebeke),2,572
Ivans Bugajenkovs,2,572
Charles G. Bugbee,2,572
Nikolay Petkov Bukhalov,2,572
Perica Buki,2,572
Lyudmila Stepanovna Buldakova (Meshcheryakova-),2,572
Lyubov Viktorovna Burda (-Andrianova),2,572
Lynn Edythe Burke (-McConville),2,572
Steven James Burke,2,572
"Thomas Edmund ""Tom"" Burke",2,572
Mikhail Ivanovich Burtsev,2,572
Crystl Irene Bustos,2,572
"Richard Totten ""Dick"" Button",2,572
"Vyacheslav Arkadyevich ""Slava"" Bykov",2,572
Erin Jane Cafaro (-McKenzie),2,572
Lee Quincy Calhoun,2,572
Luigi Cambiaso,2,572
Cassie Dawin Campbell (-Pascall),2,572
Cate Natalie Campbell,2,572
Fabian Cancellara,2,572
Cao Yuan,2,572
Nadine Capellmann (-Biffar-),2,572
